r,model,larch,diff
8.130098175793899e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.160777791551611e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.191457407309326e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.222137023067038e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.252816638824751e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.283496254582463e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.314175870340176e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.344855486097888e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.375535101855602e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.406214717613315e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.436894333371027e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.467573949128740e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.498253564886452e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.528933180644167e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.559612796401879e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.590292412159592e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.620972027917304e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.651651643675017e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.682331259432731e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.713010875190443e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.743690490948156e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.774370106705868e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.805049722463581e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.835729338221293e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.866408953979008e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.897088569736720e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.927768185494433e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.958447801252145e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.989127417009858e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.019807032767572e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.050486648525284e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.081166264282997e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.111845880040709e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.142525495798422e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.173205111556134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313849e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.234564343071561e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.265243958829274e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.295923574586986e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.326603190344699e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.357282806102413e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.387962421860125e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.418642037617838e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.449321653375550e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.480001269133263e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.510680884890977e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.541360500648690e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.572040116406402e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.602719732164115e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.633399347921827e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.664078963679540e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.694758579437254e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.725438195194966e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.756117810952679e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.786797426710391e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.817477042468104e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.848156658225818e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.878836273983531e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.909515889741243e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.940195505498956e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.970875121256668e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
